Process,"Insp. Date",PN,LN,Item,Avg,Max,Min,Range,Std.,CPK,Emp#,MC#,Material,M.LN,LSL,CSL,USL,XCL,XUCL,XLCL,RUCL
"Glass Printing",05/01/2024,501243,23Z191-2,"Pull Back",.008,.023,.000,.023,.009,.27,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z191-2,"Pull Back",.008,.023,.000,.023,.009,.27,S2897,"CC 10",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z191-2,"Glass Thickness 2",.088,.092,.082,.009,.003,1.92,S2897,"CC 10",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z191-2,"Glass Thickness 1",.048,.049,.046,.003,.001,4.55,S2897,"CC 10",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,500917,23Z032-1,"Glass Thickness 1",.053,.055,.048,.007,.002,2.08,S2861,"CC 9",LS-1320,2302171,.035,.050,.065,.050,.055,.045,.015
"Glass Printing",05/01/2024,500917,23Z032-1,"Glass Thickness 2",.113,.122,.106,.016,.005,1.07,S2861,"CC 9",LS-1320,2302171,.090,.110,.130,.108,.120,.097,.044
"Glass Printing",05/01/2024,501075,23Z063-1,"Glass Thickness 1",.049,.052,.042,.009,.002,1.43,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501075,23Z063-1,"Glass Thickness 2",.073,.076,.070,.006,.002,2.90,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501075,23Z063-0,"Glass Thickness 1",.049,.052,.043,.009,.003,1.34,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501243,23Z191-1,"Glass Thickness 1",.045,.047,.043,.004,.001,3.63,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z191-1,"Glass Thickness 2",.088,.093,.084,.010,.003,1.91,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z191-1,"Pull Back",.002,.008,.000,.008,.003,.19,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z190-1,"Pull Back",.006,.010,.000,.010,.004,.51,S3046,"CC 5",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z190-1,"Glass Thickness 2",.087,.092,.078,.015,.004,1.28,S3046,"CC 5",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z190-1,"Glass Thickness 1",.045,.047,.041,.006,.002,2.60,S3046,"CC 5",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z189-2,"Glass Thickness 1",.045,.048,.043,.005,.001,2.96,S3064,"A 2",LS-1320/MK,2309221,.032,.046,.059,.046,.048,.043,.014
"Glass Printing",05/01/2024,501243,23Z189-2,"Glass Thickness 2",.087,.091,.082,.009,.003,1.77,S3064,"A 2",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
"Glass Printing",05/01/2024,501243,23Z189-2,"Pull Back",.007,.010,.000,.010,.004,.56,S3064,"A 2",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501075,23Z062-0,"Glass Thickness 2",.075,.082,.066,.016,.005,1.38,S2920,"CC 13",LS-1320/MK,2309221,.055,.075,.095,.073,.085,.061,.031
"Glass Printing",05/01/2024,501075,23Z062-0,"Glass Thickness 1",.046,.050,.043,.007,.002,1.88,S2920,"CC 13",LS-1320/MK,2309221,.032,.045,.059,.045,.050,.040,.014
"Glass Printing",05/01/2024,501243,23Z185-2,"Pull Back",.001,.005,.000,.005,.002,.19,S3350,"A 1",LS-1320/MK,2309221,.000,.030,.050,.030,.050,.000,.020
"Glass Printing",05/01/2024,501243,23Z185-2,"Glass Thickness 2",.085,.089,.081,.008,.003,1.83,S3350,"A 1",LS-1320/MK,2309221,.071,.088,.105,.088,.101,.075,.041
